crossover,execucao,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
crossover_pmx,1,0.01762247085571289,45,40.906666666666666,34,2,True
crossover_pmx,2,0.05258488655090332,45,42.973333333333336,36,9,True
crossover_pmx,3,0.03285717964172363,45,41.99333333333333,36,5,True
crossover_pmx,4,0.23496031761169434,45,43.68,40,41,True
crossover_pmx,5,0.04360461235046387,45,43.06666666666667,37,7,True
crossover_pmx,6,7.81315541267395,44,43.81333333333333,38,,False
crossover_pmx,7,0.04944777488708496,45,41.666666666666664,31,5,True
crossover_pmx,8,0.11590313911437988,45,42.56666666666667,38,10,True
crossover_pmx,9,0.025717973709106445,45,40.99333333333333,34,2,True
crossover_pmx,10,0.059346675872802734,45,42.986666666666665,37,6,True
crossover_pmx,11,0.04284524917602539,45,40.806666666666665,33,2,True
crossover_pmx,12,0.04587674140930176,45,41.166666666666664,34,4,True
crossover_pmx,13,0.045690059661865234,45,41.62,35,4,True
crossover_pmx,14,0.055260658264160156,45,41.96666666666667,36,6,True
crossover_pmx,15,0.06233072280883789,45,42.84,37,8,True
crossover_pmx,16,0.017380237579345703,45,40.78666666666667,34,2,True
crossover_pmx,17,1.9692513942718506,45,43.46,38,212,True
crossover_pmx,18,0.020990371704101562,45,40.92666666666667,34,2,True
crossover_pmx,19,0.09527993202209473,45,42.20666666666666,36,8,True
crossover_pmx,20,2.7858800888061523,45,43.61333333333334,37,357,True
crossover_uniforme,1,0.06072735786437988,45,41.38,35,6,True
crossover_uniforme,2,0.15285897254943848,45,43.49333333333333,36,19,True
crossover_uniforme,3,0.09162783622741699,45,41.54,35,6,True
crossover_uniforme,4,0.22443771362304688,45,43.306666666666665,35,28,True
crossover_uniforme,5,0.1286163330078125,45,42.70666666666666,36,16,True
crossover_uniforme,6,0.014049530029296875,45,40.20666666666666,31,1,True
crossover_uniforme,7,0.05824899673461914,45,41.53333333333333,35,8,True
crossover_uniforme,8,0.022168636322021484,45,40.346666666666664,30,2,True
crossover_uniforme,9,0.05838727951049805,45,41.093333333333334,35,4,True
crossover_uniforme,10,0.07336807250976562,45,42.093333333333334,35,7,True
crossover_uniforme,11,0.03426003456115723,45,41.10666666666667,32,4,True
crossover_uniforme,12,0.05405592918395996,45,41.4,33,6,True
crossover_uniforme,13,0.5717828273773193,45,43.68,36,76,True
crossover_uniforme,14,0.01628589630126953,45,40.473333333333336,30,2,True
crossover_uniforme,15,0.894935131072998,45,43.36,38,131,True
crossover_uniforme,16,0.03864169120788574,45,41.2,34,5,True
crossover_uniforme,17,7.823782205581665,44,43.53333333333333,38,,False
crossover_uniforme,18,0.10226058959960938,45,42.266666666666666,36,16,True
crossover_uniforme,19,1.0413751602172852,45,43.413333333333334,35,142,True
crossover_uniforme,20,4.340503931045532,45,43.34,35,626,True
