elitismo,execucao,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
elitismo_percentual,1,0.04337143898010254,45,42.2,36,6,True
elitismo_percentual,2,0.01377415657043457,45,40.71333333333333,33,2,True
elitismo_percentual,3,0.030612945556640625,45,41.29333333333334,33,4,True
elitismo_percentual,4,0.03622317314147949,45,41.46,36,4,True
elitismo_percentual,5,0.020017623901367188,45,41.29333333333334,36,3,True
elitismo_percentual,6,0.0133056640625,45,39.96666666666667,32,1,True
elitismo_percentual,7,0.09278702735900879,45,43.06,39,6,True
elitismo_percentual,8,0.03276538848876953,45,41.446666666666665,36,4,True
elitismo_percentual,9,0.0942237377166748,45,41.79333333333334,35,5,True
elitismo_percentual,10,0.054110050201416016,45,41.913333333333334,33,4,True
elitismo_percentual,11,0.08754158020019531,45,42.29333333333334,36,13,True
elitismo_percentual,12,0.0436248779296875,45,41.50666666666667,34,6,True
elitismo_percentual,13,0.669750452041626,45,43.53333333333333,38,82,True
elitismo_percentual,14,0.0798795223236084,45,41.986666666666665,35,8,True
elitismo_percentual,15,0.0290679931640625,45,41.12,32,3,True
elitismo_percentual,16,0.040271759033203125,45,42.166666666666664,36,4,True
elitismo_percentual,17,0.7329888343811035,45,43.04666666666667,35,99,True
elitismo_percentual,18,0.018539905548095703,45,40.72,35,2,True
elitismo_percentual,19,0.06499481201171875,45,41.653333333333336,35,6,True
elitismo_percentual,20,0.027634620666503906,45,41.413333333333334,36,4,True
elitismo_fixo,1,0.004815578460693359,45,38.44,30,0,True
elitismo_fixo,2,0.02417135238647461,45,40.733333333333334,34,2,True
elitismo_fixo,3,0.05742692947387695,45,41.54,35,6,True
elitismo_fixo,4,0.03303217887878418,45,40.81333333333333,34,3,True
elitismo_fixo,5,0.025150537490844727,45,40.98,36,3,True
elitismo_fixo,6,0.034194231033325195,45,41.26,36,4,True
elitismo_fixo,7,0.034429073333740234,45,41.39333333333333,35,5,True
elitismo_fixo,8,2.1713640689849854,45,43.82666666666667,37,357,True
elitismo_fixo,9,0.031028270721435547,45,41.21333333333333,29,5,True
elitismo_fixo,10,7.180517196655273,44,43.946666666666665,42,,False
elitismo_fixo,11,0.014480352401733398,45,39.7,32,1,True
elitismo_fixo,12,0.06702184677124023,45,41.20666666666666,33,6,True
elitismo_fixo,13,0.08370709419250488,45,42.94,38,11,True
elitismo_fixo,14,7.117848873138428,44,43.93333333333333,42,,False
elitismo_fixo,15,0.11017012596130371,45,42.77333333333333,36,10,True
elitismo_fixo,16,0.03984546661376953,45,40.88666666666666,35,4,True
elitismo_fixo,17,0.015993356704711914,45,40.126666666666665,33,1,True
elitismo_fixo,18,0.10369038581848145,45,41.78666666666667,31,10,True
elitismo_fixo,19,0.09898495674133301,45,41.63333333333333,36,7,True
elitismo_fixo,20,0.07034540176391602,45,41.693333333333335,33,8,True
