mutacao,execucao,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
mutacao_swap,1,0.030791282653808594,45,41.42666666666667,36,4,True
mutacao_swap,2,0.048979759216308594,45,42.413333333333334,36,8,True
mutacao_swap,3,0.04062700271606445,45,41.74666666666667,33,6,True
mutacao_swap,4,0.06720304489135742,45,42.88666666666666,38,10,True
mutacao_swap,5,0.0444943904876709,45,42.126666666666665,37,5,True
mutacao_swap,6,0.01889491081237793,45,41.03333333333333,33,3,True
mutacao_swap,7,5.641861915588379,45,43.70666666666666,37,800,True
mutacao_swap,8,0.01343846321105957,45,39.986666666666665,32,1,True
mutacao_swap,9,0.03939485549926758,45,41.79333333333334,37,4,True
mutacao_swap,10,0.08038067817687988,45,42.29333333333334,33,10,True
mutacao_swap,11,0.04173851013183594,45,42.013333333333335,37,6,True
mutacao_swap,12,0.030833005905151367,45,41.126666666666665,31,4,True
mutacao_swap,13,0.03808331489562988,45,40.513333333333335,33,2,True
mutacao_swap,14,0.04888033866882324,45,42.306666666666665,35,6,True
mutacao_swap,15,0.03639984130859375,45,41.57333333333333,35,4,True
mutacao_swap,16,0.061389923095703125,45,43.10666666666667,36,7,True
mutacao_swap,17,0.05984926223754883,45,42.70666666666666,36,9,True
mutacao_swap,18,0.03559756278991699,45,41.66,33,5,True
mutacao_swap,19,0.035292863845825195,45,41.20666666666666,35,5,True
mutacao_swap,20,0.036333322525024414,45,42.50666666666667,37,5,True
mutacao_scramble,1,0.1255638599395752,45,43.666666666666664,36,13,True
mutacao_scramble,2,0.03358817100524902,45,40.94,31,4,True
mutacao_scramble,3,0.15840458869934082,45,43.333333333333336,38,21,True
mutacao_scramble,4,0.052564382553100586,45,42.553333333333335,35,6,True
mutacao_scramble,5,0.040169477462768555,45,41.64666666666667,36,4,True
mutacao_scramble,6,0.054772138595581055,45,42.086666666666666,37,7,True
mutacao_scramble,7,0.09047198295593262,45,42.266666666666666,37,11,True
mutacao_scramble,8,0.026119232177734375,45,41.07333333333333,35,3,True
mutacao_scramble,9,1.098954677581787,45,43.626666666666665,38,158,True
mutacao_scramble,10,0.06301426887512207,45,42.36666666666667,37,9,True
mutacao_scramble,11,0.047380924224853516,45,40.906666666666666,34,3,True
mutacao_scramble,12,7.708904266357422,44,43.446666666666665,36,,False
mutacao_scramble,13,0.05944681167602539,45,41.88666666666666,36,5,True
mutacao_scramble,14,0.0740194320678711,45,41.79333333333334,36,9,True
mutacao_scramble,15,0.044379234313964844,45,42.10666666666667,35,4,True
mutacao_scramble,16,0.014688253402709961,45,39.78,33,1,True
mutacao_scramble,17,0.024314403533935547,45,40.96666666666667,33,2,True
mutacao_scramble,18,0.06841492652893066,45,42.36,37,5,True
mutacao_scramble,19,0.05251932144165039,45,41.07333333333333,33,3,True
mutacao_scramble,20,4.763172149658203,45,43.82666666666667,39,661,True
