selecao,execucao,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
selecao_torneio,1,3.620568037033081,45,43.75333333333333,39,427,True
selecao_torneio,2,0.20526552200317383,45,43.67333333333333,35,28,True
selecao_torneio,3,7.693375825881958,44,43.733333333333334,40,,False
selecao_torneio,4,0.007076740264892578,45,38.593333333333334,28,0,True
selecao_torneio,5,0.04725456237792969,45,42.42666666666667,35,6,True
selecao_torneio,6,0.030084848403930664,45,41.34,36,3,True
selecao_torneio,7,0.039754390716552734,45,41.486666666666665,36,4,True
selecao_torneio,8,0.012356758117675781,45,40.14,32,1,True
selecao_torneio,9,0.07211971282958984,45,43.14666666666667,37,9,True
selecao_torneio,10,0.4965040683746338,45,43.68666666666667,38,58,True
selecao_torneio,11,0.035202980041503906,45,41.66,36,4,True
selecao_torneio,12,0.031877994537353516,45,41.18666666666667,32,4,True
selecao_torneio,13,0.032396793365478516,45,41.3,34,4,True
selecao_torneio,14,0.12866997718811035,45,43.026666666666664,36,15,True
selecao_torneio,15,0.037978410720825195,45,42.10666666666667,36,5,True
selecao_torneio,16,0.037802934646606445,45,41.79333333333334,36,5,True
selecao_torneio,17,0.04826235771179199,45,41.593333333333334,35,6,True
selecao_torneio,18,0.04705548286437988,45,41.526666666666664,33,6,True
selecao_torneio,19,0.014992237091064453,45,39.82666666666667,34,1,True
selecao_torneio,20,7.210689544677734,44,43.84,41,,False
selecao_truncamento,1,0.016261816024780273,45,39.72,31,1,True
selecao_truncamento,2,9.023902416229248,44,43.64,39,,False
selecao_truncamento,3,0.05109715461730957,45,41.48,34,5,True
selecao_truncamento,4,0.05771589279174805,45,41.25333333333333,35,4,True
selecao_truncamento,5,0.005372524261474609,45,38.846666666666664,30,0,True
selecao_truncamento,6,0.06807494163513184,45,41.72666666666667,35,7,True
selecao_truncamento,7,0.046722412109375,45,41.94,35,5,True
selecao_truncamento,8,0.022896289825439453,45,40.68666666666667,35,2,True
selecao_truncamento,9,0.0601193904876709,45,43.28,38,7,True
selecao_truncamento,10,8.826777458190918,44,43.46,39,,False
selecao_truncamento,11,0.05500149726867676,45,41.54666666666667,34,6,True
selecao_truncamento,12,0.04832935333251953,45,41.60666666666667,36,5,True
selecao_truncamento,13,0.9875023365020752,45,43.4,35,106,True
selecao_truncamento,14,0.0051422119140625,45,38.57333333333333,29,0,True
selecao_truncamento,15,0.23847341537475586,45,43.266666666666666,39,21,True
selecao_truncamento,16,0.10334515571594238,45,42.21333333333333,38,11,True
selecao_truncamento,17,0.19056916236877441,45,43.346666666666664,40,18,True
selecao_truncamento,18,0.04821443557739258,45,41.64,37,5,True
selecao_truncamento,19,0.030269622802734375,45,40.67333333333333,33,3,True
selecao_truncamento,20,0.0722191333770752,45,42.02,36,9,True
